uqifllhkqn,siwqjc2pb3,GERMAN,135,76,420,18504
mavlscithc,e9savzeel0,GERMAN,28,80,447,19494
xlacanwgpc,h9lutwkaui,TURKISH,252,86,490,21365
bkrfrazvih,akz9by769w,ITALIAN,281,21,83,3511
lmrmhhowni,lfsfaky6k4,TURKISH,239,59,330,14610
bxwxcitvua,jfgumadsk1,GERMAN,238,40,217,9364
sflhrwhwrc,zd3kpoyct2,ITALIAN,115,51,233,10400
nedzhseybm,cxq3ufxb5u,GERMAN,38,68,374,16247
engzmrqdmo,4k8zqcxcx5,SPANISH,14,60,290,12563
sumyeeknmb,l753s4ss3i,ITALIAN,41,33,130,5533
yggtmliaww,17dfh8s0md,TURKISH,218,30,166,7559
wbjdgshtsz,kshrib2lcx,SPANISH,208,70,350,15244
scfnrtlyiy,lxtq79nmoj,TURKISH,49,95,547,23743
bxjqlmfxpw,pbz7lw638h,SPANISH,123,83,412,17675
qtfdzvcgpg,x4pwb1nkii,GERMAN,306,58,311,13699
wilpfuunon,muqlslmswe,GERMAN,291,96,538,24104
zgrhnwmsha,oe2qs60gr6,SPANISH,315,14,76,3245
eriheizedc,h5dfos9har,ITALIAN,217,57,259,11653
rvaaqilojl,vl2wwds12n,ITALIAN,174,29,115,4805
bkxvvmymrh,upy8kfqovi,ITALIAN,315,48,206,8802
dmeedqglyr,sdx7rhlsi4,ITALIAN,57,44,188,8271
wghvbdxiyg,sbe9m9zbqt,SPANISH,254,14,79,3505
dpeapthxfy,7pnw94c18e,GERMAN,240,35,196,8846
oeectnfdkd,q9l11umh71,TURKISH,138,23,127,5381
nhkbqkdiik,9igrthx9rx,TURKISH,184,75,411,17775
foywzubmyi,nf9fbpx6pm,GERMAN,9,80,449,19364
zouuofxsxe,oth4824rjl,ITALIAN,320,35,141,5846
trcxoetrlc,vxa65gf3cz,TURKISH,144,8,38,1642
nqboobllbl,dsrmwy5yel,SPANISH,11,25,143,6462
iqfidewffq,u5jv6xwg42,TURKISH,294,66,362,15742
ahscxlcahi,a4rtm4sunp,GERMAN,179,88,488,21067
ngbjcuygdw,l0nz5hw7kd,GERMAN,136,31,169,8018
jtcoucqyhq,m9l8z9iz36,SPANISH,289,24,132,5720
vvisacahlw,rh7eahf80l,TURKISH,101,31,176,7590
udspfhjrwy,p329czl486,SPANISH,228,9,42,1966
ccxgtnopuz,dchogeg16s,TURKISH,141,95,549,24238
uitmywlpbp,0ltfdcw4gz,GERMAN,239,23,132,6020
neszbszeqn,patrjgnc4f,TURKISH,115,53,299,12758
slzodnxccl,xxscr81v9t,TURKISH,357,47,273,11982
ecpzcmdlok,ybnx5fcuaq,GERMAN,183,7,44,2043
akslglxwyy,0kwtjwjgca,GERMAN,304,46,248,11039
vnhlycjnsb,l5ididz10o,GERMAN,161,77,422,18594
ctqopehddw,i6t349xrs4,GERMAN,226,7,36,1726
lshrdpntqq,qs36k4hoo6,SPANISH,15,93,467,20429
verodgmfgk,mmtlv4d7g6,TURKISH,124,25,140,6058
hbfyblckgr,8kvfyxzfhb,SPANISH,46,10,45,1993
xyhzadssbo,21ulrohhlt,SPANISH,17,97,484,21697
ejsfybzkdc,i1cispkl6p,TURKISH,65,13,73,3046
ezxccpgsvw,l9rzz7hs7z,TURKISH,224,37,210,8903
catxavcqyt,xf65hk92p4,ITALIAN,219,31,119,5111
jiteuvzwfw,m94256irly,TURKISH,203,53,298,13174
qaikfotgev,shg6v7dfrw,GERMAN,189,67,370,16339
jbgtycykyx,tx4fzx8p1p,SPANISH,82,19,103,4427
wkjykubytn,qmqfq57c8d,TURKISH,85,41,231,10203
wxgbhnmcds,v5fmvsnikz,TURKISH,28,82,467,20315
vwrdzwrham,q4a61z2iw6,SPANISH,332,68,343,15263
sulteiayor,e3bobgk2jy,TURKISH,319,77,425,18770
ifyowpwywh,ijnqszmdbc,ITALIAN,249,57,263,11759
qgvcwunjmx,hyhb0b7uwx,GERMAN,38,78,432,19221
wukobaudzq,3v3hlt47zl,ITALIAN,319,15,52,2230
hcidmjetcu,ii967rk1hw,TURKISH,215,86,490,21182
ptxzutyzom,4nd7l4c3nl,GERMAN,61,31,174,8182
zsubhwsfxe,rfn8uziecm,TURKISH,280,63,346,14944
xutgkudesn,mjj22id0sj,GERMAN,240,89,496,21959
dsvaevtgos,f6m5cr9fj2,ITALIAN,21,31,118,4817
vbjltwsigc,mh93bninti,TURKISH,117,96,551,23635
fanwhvvfem,afpop6r2kr,TURKISH,75,65,357,15510
akidnuknas,078i5i2kk0,GERMAN,306,84,477,21082
sgbrsflmvq,120pou0e5p,SPANISH,363,14,78,3474
rdyqiiqqei,74vfsttf0r,TURKISH,157,83,476,20338
malgcnncbl,3b56wqecdc,SPANISH,10,78,386,16750
ewfddikghj,m2y1i4s7al,ITALIAN,173,15,54,2156
dvbjiiqlvc,dbgr5uyj4e,TURKISH,113,59,329,14527
ykvdmaqnpb,cc9ceo79an,GERMAN,320,80,450,20151
bnivrxypby,5ipzyh8ahr,GERMAN,302,95,533,23133
pdbtewvjrq,c91bdvd9h2,SPANISH,305,63,307,12894
unnsqchyjp,6mt3owdles,GERMAN,245,80,455,20166
wzestoqnlq,3u2gb9x0iz,TURKISH,170,43,241,10493
jlzvuatsuw,rdgtpk6iro,TURKISH,135,20,109,4849
eykfrzajbs,vlzwqaxeld,TURKISH,15,73,400,17342
hnzrlhwcwz,mcgzrpnxxg,GERMAN,329,29,159,7118
wcjbwssiam,lxiyvohx0b,GERMAN,87,98,545,23861
bkmbacjatg,4h8dhjf8in,ITALIAN,343,39,161,6791
sofzhtfsiz,k1jsaavd1h,GERMAN,202,80,455,19517
jvmohtgkvc,xcf6mwvzy7,ITALIAN,353,21,85,3478
micjdulrja,exa14lisf7,ITALIAN,146,32,126,5470
uvjutjhltt,0grcivxsk7,SPANISH,262,6,23,1151
nfalygsmwk,4m4u93qb6u,SPANISH,97,82,407,17455
fxovkpvfhr,g5f03ak77e,ITALIAN,247,27,102,4259
uhxuzacywl,p1nu0ajdk1,ITALIAN,182,7,34,1421
rnppgwhubc,0u6f4mynqj,SPANISH,354,36,194,8942
iqaqbtwccl,a2r36t42wv,ITALIAN,118,34,135,5558
bywxtxdetx,qd16o15449,TURKISH,75,53,296,12798
piqvtmqqhw,2s36gxtk26,ITALIAN,81,49,210,8787
fieymzbtaf,7iak3n7d67,GERMAN,334,94,527,23041
oirkyisgst,tszt6afse8,GERMAN,308,84,474,20976
puyrjtjlvg,d2wprrvt0u,TURKISH,41,34,190,8535
irjtwhuccd,pyh5pfzhe5,SPANISH,229,52,257,11024
ypxhdotvvu,ncbjv65n2o,ITALIAN,54,41,168,7386
